"layer","x","y","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha"
1,33000,2.10067129346082,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1.45687159983829,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.745104798265807,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.745104798265807,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.745104798265807,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,250000,0.745104798265807,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.745104798265807,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.745104798265807,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1.27160796985637,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1.68177774340812,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3900,1.02207613175071,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,75000,0.603689734806606,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.954870869600572,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+06,3.0564764916707,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+06,2.86412814927729,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1e+06,2.7573687813744,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
